code_site,libelle_site,code_station,libelle_station,type_station,coordonnee_x_station,coordonnee_y_station,code_projection,longitude_station,latitude_station,influence_locale_station,commentaire_station,altitude_ref_alti_station,code_systeme_alti_site,code_commune_station,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,descriptif_station,date_maj_station,date_ouverture_station,date_fermeture_station,commentaire_influence_locale_station,code_regime_station,qualification_donnees_station,code_finalite_station,type_contexte_loi_stat_station,type_loi_station,date_debut_ref_alti_station,date_activation_ref_alti_station,date_maj_ref_alti_station,libelle_departement,en_service,geometry.type,geometry.crs.type,geometry.crs.properties.name,geometry.coordinates1,geometry.coordinates2
E3646282,Vieille Lys Aval à Merville,E364628201,Vieille Lys Aval à Merville,DEB,674879.0661568,7060210.9699586,26,2.645495012,50.638348974,4.0,,,,59400,MERVILLE,59,32,HAUTS-DE-FRANCE,E3640600,Vieille Lys Aval,http://id.eaufrance.fr/CEA/E3640600,,2021-07-05T00:00:00Z,2021-07-05T00:00:00Z,,Proximité de la confluence avec la Lys canalisée,1,16,2.0,,,,,,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.64549501192093,50.6383489739186
E3658510,La Bourre à Hazebrouck,E365851001,La Bourre à Hazebrouck,LIMNI,669172.0,7071539.0,26,2.564076223,50.7397438,1.0,Station reprise au Symsagel au 1er janvier 2009. Pont sur lequel était installé la station s'est écroulée dans le cours d'eau le 30/04/2017.,19581.0,3.0,59295,HAZEBROUCK,59,32,HAUTS-DE-FRANCE,E3650850,Bourre,http://id.eaufrance.fr/CEA/E3650850,,2020-12-08T00:00:00Z,2009-01-01T00:00:00Z,2017-04-30T00:00:00Z,,1,20,12.0,1.0,2.0,2013-02-02T00:00:00Z,2020-12-08T00:00:00Z,2020-12-08T00:00:00Z,NORD,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.5640762228507,50.7397438003545
E3658513,La Bourre à Merville,E365851301,La Bourre à Merville,DEB,674062.6687036,7061189.2492737,26,2.633910222,50.647094677,0.0,,,,59400,MERVILLE,59,32,HAUTS-DE-FRANCE,E3650850,Bourre,http://id.eaufrance.fr/CEA/E3650850,,2024-01-09T00:00:00Z,2013-01-01T00:00:00Z,,,1,16,2.0,,,,,,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.63391022161114,50.6470946766187
E3658514,Le canal d'Hazebrouck [La Bourre] à Merville [Pont à Loup],E365851401,Le canal d'Hazebrouck [La Bourre] à Merville [Pont à Loup],LIMNI,672663.8402876,7062540.0665395,26,2.614073725,50.659157011,2.0,,13.362,3.0,59400,MERVILLE,59,32,HAUTS-DE-FRANCE,E3650620,Canal d'Hazebrouck,http://id.eaufrance.fr/CEA/E3650620,,2024-04-29T00:00:00Z,2024-03-01T00:00:00Z,,"Plus d'écoulement en étiage, Présence de forte végétation",1,12,25.0,,,2024-03-26T00:00:00Z,2024-04-29T00:00:00Z,2024-04-29T00:00:00Z,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.61407372547332,50.6591570114257
E3666016,La Lawe à la Gorgue,E366601601,La Lawe à la Gorgue,DEB,679045.5322519,7060069.8511578,26,2.704298764,50.637236499,3.0,,,,59268,GORGUE,59,32,HAUTS-DE-FRANCE,E3660600,La Lawe,http://id.eaufrance.fr/CEA/E3660600,,2021-07-05T00:00:00Z,2021-06-18T00:00:00Z,,Barrage de La Gorgue (USAN) en aval de la station. Confluence avec la Lys assez proche.,1,16,2.0,,,,,,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.70429876433878,50.6372364985141
E3666018,Le becque de Steenwerck à Saint-Jans-Cappel [Grande Becque],E366601801,Le becque de Steenwerck à Saint-Jans-Cappel [Grande Becque],LIMNI,680181.7085256,7074247.6021537,26,2.719621495,50.764495045,1.0,,,,59535,SAINT-JANS-CAPPEL,59,32,HAUTS-DE-FRANCE,E3660850,Becque de Steenwerck,http://id.eaufrance.fr/CEA/E3660850,,2021-07-05T00:00:00Z,2021-06-02T00:00:00Z,,,1,16,2.0,,,,,,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.7196214952669,50.7644950454628
E3666019,Le Meteren Becque au Doulieu,E366601901,Le Meteren Becque au Doulieu - La Méteren Becque au Doulieu,LIMNI,678796.8336619,7064632.6676486,26,2.700545076,50.67817428,,,,,59180,DOULIEU,59,32,HAUTS-DE-FRANCE,E3660810,Meteren Becque,http://id.eaufrance.fr/CEA/E3660810,,2021-10-05T00:00:00Z,2021-06-02T00:00:00Z,,,1,16,2.0,,,,,,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.70054507619397,50.6781742799756
E3671250,La Lys à Armentières,E367125001,La Lys à Armentières - Ancienne,LIMNI,692771.0,7066238.0,26,2.897874189,50.692898689,1.0,,12000.0,3.0,59017,ARMENTIERES,59,32,HAUTS-DE-FRANCE,E3--0120,La Lys,http://id.eaufrance.fr/CEA/E3--0120,,2024-05-07T00:00:00Z,1970-01-01T00:00:00Z,1995-01-01T00:00:00Z,,1,12,12.0,1.0,2.0,1970-01-01T00:00:00Z,2013-11-18T00:00:00Z,2024-05-07T00:00:00Z,NORD,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.89787418883394,50.6928986888681
E3671250,La Lys à Armentières,E367125002,La Lys à Armentières,DEB,692771.0,7066238.0,26,2.897874189,50.692898689,,Station VNF,12.67,3.0,59017,ARMENTIERES,59,32,HAUTS-DE-FRANCE,E3--0120,La Lys,http://id.eaufrance.fr/CEA/E3--0120,,2024-05-07T00:00:00Z,2004-05-07T00:00:00Z,,,1,16,0.0,,,2004-05-07T00:00:00Z,2023-06-15T00:00:00Z,2024-01-09T00:00:00Z,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.89787418883394,50.6928986888681
E3811210,La Lys à Wervicq-Sud,E381121001,La Lys à Wervicq-Sud,LIMNI,702987.0,7075503.0,26,3.042268147,50.776067541,1.0,,,,59656,WERVICQ-SUD,59,32,HAUTS-DE-FRANCE,E3--0120,La Lys,http://id.eaufrance.fr/CEA/E3--0120,,2021-02-18T00:00:00Z,1961-01-01T00:00:00Z,1980-01-01T00:00:00Z,,1,12,12.0,1.0,2.0,,,,NORD,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,3.04226814665621,50.7760675406722
E3811265,La Lys à Bousbecque,E381126501,La Lys à Bousbecque,DEB,705215.0,7075482.0,26,3.073795618,50.77586443,2.0,"Station ultrason installée en 2004 pour la connaissance des débits de la Lys canalisée. Pour les années de 2006 à 2020, les données de débit incorporées dans HydroPortail ont été expertisées, validées et peuvent être considérées comme bonnes.",9913.0,3.0,59098,BOUSBECQUE,59,32,HAUTS-DE-FRANCE,E3--0120,La Lys,http://id.eaufrance.fr/CEA/E3--0120,,2024-04-29T00:00:00Z,2004-01-01T00:00:00Z,,"En étiage, les débits des canaux sont fortement influencés par les transferts d'eau.",1,20,12.0,1.0,2.0,2016-11-08T00:00:00Z,2021-06-28T00:00:00Z,2024-04-29T00:00:00Z,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,3.07379561839345,50.7758644297442
E4000001,Longue Becque à Renescure,E400000101,Longue Becque à Renescure,DEB,655106.532419,7069066.9730052,26,2.365471393,50.716707316,,Station VNF,,,59497,RENESCURE,59,32,HAUTS-DE-FRANCE,E4000600,Longue Becque,http://id.eaufrance.fr/CEA/E4000600,,2024-04-15T00:00:00Z,2011-05-10T00:00:00Z,,,1,16,,,,,,,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.36547139258464,50.716707315581
E4905710,L'Yser à Bambecque,E490571001,L'Yser à Bambecque - Engelshof,LIMNI,667679.0,7089304.0,26,2.54150629,50.899048599,1.0,,2386.0,3.0,59046,BAMBECQUE,59,32,HAUTS-DE-FRANCE,E4900570,Yser,http://id.eaufrance.fr/CEA/E4900570,,2023-02-03T00:00:00Z,1971-12-01T00:00:00Z,,,1,12,12.0,1.0,2.0,1971-12-01T00:00:00Z,2013-11-18T00:00:00Z,2019-05-17T00:00:00Z,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.54150629020561,50.899048598689
E4905710,L'Yser à Bambecque,E490571002,L'Yser à Bambecque - RD 167,LIMNI,668142.3688091,7089138.0538155,26,2.548092796,50.897583939,1.0,Déplacement de la station 1.,2.049,3.0,59046,BAMBECQUE,59,32,HAUTS-DE-FRANCE,E4900570,Yser,http://id.eaufrance.fr/CEA/E4900570,,2024-01-11T00:00:00Z,2022-09-26T00:00:00Z,,,1,16,12.0,,,2023-09-05T00:00:00Z,2024-01-11T00:00:00Z,2024-01-11T00:00:00Z,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.54809279580751,50.8975839391199
E4905711,L'Yser à Bollezeele [Erkelsbrug],E490571101,L'Yser à Bollezeele [Erkelsbrug],LIMNI,654048.5813794,7085738.1896331,26,2.348575,50.866201538,1.0,,18290.0,3.0,59089,BOLLEZEELE,59,32,HAUTS-DE-FRANCE,E4900570,Yser,http://id.eaufrance.fr/CEA/E4900570,,2022-09-29T00:00:00Z,1999-09-23T00:00:00Z,,,1,20,12.0,1.0,2.0,1999-09-25T00:00:00Z,2013-11-18T00:00:00Z,2019-05-17T00:00:00Z,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.34857500000054,50.8662015384128
E4907005,La Peene Becque à Ochtezeele,E490700501,La Peene Becque à Ochtezeele,LIMNI,657790.0,7080202.0,26,2.402206825,50.816800943,1.0,,18860.0,3.0,59443,OCHTEZEELE,59,32,HAUTS-DE-FRANCE,E4900700,Peene Becque,http://id.eaufrance.fr/CEA/E4900700,,2020-12-04T00:00:00Z,1999-09-29T00:00:00Z,,,1,20,12.0,1.0,2.0,1999-09-29T00:00:00Z,2013-11-18T00:00:00Z,2019-05-17T00:00:00Z,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.40220682530572,50.8168009433901
E4907010,La Peene Becque à Wormhout,E490701001,La Peene Becque à Wormhout,LIMNI,662734.0,7087767.0,26,2.471506239,50.884983589,1.0,,7000.0,3.0,59663,WORMHOUT,59,32,HAUTS-DE-FRANCE,E4900700,Peene Becque,http://id.eaufrance.fr/CEA/E4900700,,2021-02-15T00:00:00Z,1971-12-01T00:00:00Z,1977-05-07T00:00:00Z,,1,20,12.0,1.0,2.0,1971-12-01T00:00:00Z,2013-11-18T00:00:00Z,2019-05-17T00:00:00Z,NORD,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.47150623883731,50.8849835889268
E4909405,L'Ey Becque à Steenvoorde,E490940501,L'Ey Becque à Steenvoorde,LIMNI,670716.6983685,7079542.026766,26,2.585324344,50.811623421,1.0,,15830.0,3.0,59580,STEENVOORDE,59,32,HAUTS-DE-FRANCE,E4900940,Ey Becque,http://id.eaufrance.fr/CEA/E4900940,,2024-03-12T00:00:00Z,1999-09-27T00:00:00Z,,,1,20,0.0,1.0,2.0,1999-09-27T00:00:00Z,2013-11-18T00:00:00Z,2019-05-17T00:00:00Z,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.58532434403527,50.8116234213615
E4909410,L'Ey Becque à Houtkerque,E490941001,L'Ey Becque à Houtkerque,LIMNI,672217.0,7086617.0,26,2.606069675,50.875164099,1.0,,4000.0,3.0,59318,HOUTKERQUE,59,32,HAUTS-DE-FRANCE,E4900940,Ey Becque,http://id.eaufrance.fr/CEA/E4900940,,2021-02-15T00:00:00Z,1971-12-01T00:00:00Z,1982-06-17T00:00:00Z,,1,20,12.0,1.0,2.0,1971-12-01T00:00:00Z,2013-11-18T00:00:00Z,2019-05-17T00:00:00Z,NORD,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.60606967457073,50.875164098775
E4909414,L'Ey Becque à Houtkerque,E490941401,L'Ey Becque à Houtkerque,LIMNI,672232.2109122,7086597.9025251,26,2.606286694,50.874993458,1.0,La station est gérée par le VLAAMSE MILIEUMAATSCHAPPIJ.  La DREAL Hauts-de-France réalise les  jaugeages.,0.0,3.0,59318,HOUTKERQUE,59,32,HAUTS-DE-FRANCE,E4900940,Ey Becque,http://id.eaufrance.fr/CEA/E4900940,,2024-01-09T00:00:00Z,2008-01-01T00:00:00Z,,,1,16,7.0,,,2020-01-01T00:00:00Z,2023-02-15T00:00:00Z,2023-08-17T00:00:00Z,NORD,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.60628669399291,50.8749934583195
F7040001,La Seine à Suresnes,F704000101,La Seine à Suresnes - Barrage (amont),LIMNI,643679.0,6863624.0,26,2.232197144,48.870178682,,"Cotes journalières ""observateur"" à l'amont du barrage.",21220.0,3.0,92073,SURESNES,92,11,ILE-DE-FRANCE,----0010,La Seine,http://id.eaufrance.fr/CEA/----0010,,2021-12-02T00:00:00Z,1936-01-01T00:00:00Z,,,1,16,,1.0,2.0,2000-01-01T00:00:00Z,2013-11-18T00:00:00Z,2021-12-02T00:00:00Z,HAUTS-DE-SEINE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.23219714412568,48.8701786815583
F7040001,La Seine à Suresnes,F704000102,La Seine à Suresnes - Barrage (aval) [VNF],LIMNI,643817.0,6863786.0,26,2.234056906,48.871647547,,station géré par VNF,,,92073,SURESNES,92,11,ILE-DE-FRANCE,----0010,La Seine,http://id.eaufrance.fr/CEA/----0010,,2023-08-31T00:00:00Z,1900-01-01T00:00:00Z,,,1,16,3.0,1.0,0.0,,,,HAUTS-DE-SEINE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.23405690586594,48.8716475465789
F7040001,La Seine à Suresnes,F704000103,La Seine à Suresnes - Suresnes Amont [VNF],LIMNI,643680.0,6863652.0,26,2.232207064,48.870430564,,La hauteur est en NGF. Station géré par VNF.,,,92073,SURESNES,92,11,ILE-DE-FRANCE,----0010,La Seine,http://id.eaufrance.fr/CEA/----0010,,2023-08-31T00:00:00Z,2020-11-23T00:00:00Z,,,1,16,3.0,,,,,,HAUTS-DE-SEINE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.23220706440768,48.8704305638354
Y0004010,El Segre à Saillagouse [Ro],Y000401001,El Segre à Saillagouse [Ro],LIMNI,619279.121,6151596.888,26,2.020052631,42.459737289,1.0,,1252.275,3.0,66167,SAILLAGOUSE,66,76,OCCITANIE,Y00-0400,el Segre,http://id.eaufrance.fr/CEA/Y00-0400,,2023-04-05T00:00:00Z,1988-07-13T00:00:00Z,,,1,20,1.0,1.0,1.0,2020-01-09T00:00:00Z,2020-01-09T00:00:00Z,2020-02-07T00:00:00Z,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.02005263063809,42.4597372885652
Y0015210,Ribeira d'Err à Err [Prats de Toza],Y001521001,Ribeira d'Err à Err [Prats de Toza],LIMNI,624416.0,6144075.0,26,2.083468149,42.3926855,1.0,,,,66067,ERR,66,76,OCCITANIE,Y0010520,Ribeira d'Err,http://id.eaufrance.fr/CEA/Y0010520,,2021-05-12T00:00:00Z,1966-10-26T00:00:00Z,1969-04-06T00:00:00Z,,1,20,12.0,1.0,1.0,,,,PYRENEES-ORIENTALES,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.08346814889574,42.3926854995345
Y0015220,Ribeira d'Err à Err [RN 116],Y001522001,Ribeira d'Err à Err [RN 116],LIMNI,619423.0,6149889.0,26,2.022055907,42.444402599,1.0,,1301.0,2.0,66067,ERR,66,76,OCCITANIE,Y0010520,Ribeira d'Err,http://id.eaufrance.fr/CEA/Y0010520,,2021-05-12T00:00:00Z,1966-10-27T00:00:00Z,1971-01-01T00:00:00Z,,1,20,12.0,1.0,1.0,1966-10-27T00:00:00Z,2016-05-13T00:00:00Z,2016-05-13T00:00:00Z,PYRENEES-ORIENTALES,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.02205590739618,42.4444025992353
Y0015221,El Segre à Bourg-Madame,Y001522101,El Segre à Bourg-Madame,LIMNI,613070.5229576,6148820.501508,26,1.945139458,42.434064,,,,,66025,BOURG-MADAME,66,76,OCCITANIE,Y00-0400,el Segre,http://id.eaufrance.fr/CEA/Y00-0400,,2023-04-19T00:00:00Z,2023-03-01T00:00:00Z,,,1,16,1.0,,,,,,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,1.94513945776704,42.4340639997917
Y0025010,Le Riu Rahur [L'Angoustrine] à Angoustrine-Villeneuve-des-Escaldes,Y002501001,Le Riu Rahur [L'Angoustrine] à Angoustrine-Villeneuve-des-Escaldes,LIMNI,614652.792,6154842.842,26,1.963378217,42.488381862,1.0,,1351000.0,2.0,66005,ANGOUSTRINE-VILLENEUVE-DES-ESCALDES,66,76,OCCITANIE,Y0020500,Riu Rahur,http://id.eaufrance.fr/CEA/Y0020500,,2021-05-05T00:00:00Z,1911-01-19T00:00:00Z,,,1,20,0.0,1.0,1.0,1911-01-19T00:00:00Z,2013-11-18T00:00:00Z,2019-07-24T00:00:00Z,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,1.96337821664164,42.4883818618049
Y0045010,Le Riu de Quérol à Porta [Carol],Y004501001,Le Riu de Quérol à Porta [Carol],LIMNI,605112.0,6155823.0,26,1.847338222,42.49600295,1.0,,1357000.0,2.0,66146,PORTA,66,76,OCCITANIE,Y0040500,Riu de Querol,http://id.eaufrance.fr/CEA/Y0040500,,2023-04-05T00:00:00Z,1920-10-01T00:00:00Z,,,1,20,15.0,1.0,1.0,1920-10-01T00:00:00Z,2013-11-18T00:00:00Z,2018-08-10T00:00:00Z,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,1.84733822184778,42.496002950086
Y0055610,[Le canal de Vernet-et-Pia] à Saint-Estève,Y005561001,[Le canal de Vernet-et-Pia] à Saint-Estève,LIMNI,688826.0,6178940.0,26,2.863768656,42.709968472,3.0,,,,66172,SAINT-ESTEVE,66,76,OCCITANIE,00000000,,http://id.eaufrance.fr/CEA/00000000,,2021-05-12T00:00:00Z,1987-01-01T00:00:00Z,,,1,20,12.0,1.0,1.0,,,,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.8637686563701,42.7099684718596
Y0105210,La Baillaury à Banyuls-sur-Mer [Ancienne],Y010521001,La Baillaury à Banyuls-sur-Mer [Ancienne],LIMNI,708843.0,6151790.0,26,3.107362204,42.465921591,1.0,Station raccordée au réseau radio automatique départemental d'annonce de crues et de gestion du barrage de VINCA. Station arrêtée et remplacée par la station Y0105220 située à l'aval de la confluence Baillaury/Rome.,,,66016,BANYULS-SUR-MER,66,76,OCCITANIE,Y0100520,La Baillaury,http://id.eaufrance.fr/CEA/Y0100520,,2021-02-16T00:00:00Z,1968-07-19T00:00:00Z,2009-03-04T00:00:00Z,,1,20,12.0,1.0,1.0,,,,PYRENEES-ORIENTALES,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,3.10736220391892,42.4659215905487
Y0105220,La Baillaury à Banyuls-sur-Mer,Y010522001,La Baillaury à Banyuls-sur-Mer,LIMNI,708904.058,6151802.575,26,3.108103713,42.466033878,2.0,Remplace deux anciennes stations Baillaury et Rome.,18.542,3.0,66016,BANYULS-SUR-MER,66,76,OCCITANIE,Y0100520,La Baillaury,http://id.eaufrance.fr/CEA/Y0100520,,2021-05-05T00:00:00Z,2008-03-11T00:00:00Z,,,1,16,0.0,1.0,1.0,2020-01-09T00:00:00Z,2020-01-09T00:00:00Z,2020-01-09T00:00:00Z,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,3.10810371263902,42.4660338776648
Y0105810,Le ruisseau du Tervau [La Rome] à Banyuls-sur-Mer [Ancienne],Y010581001,Le ruisseau du Tervau [La Rome] à Banyuls-sur-Mer [Ancienne],LIMNI,708913.0,6151769.0,26,3.108211718,42.465731964,2.0,"Station mise hors service, nouvelle station Baillaury Y0105220 situé à l'aval de la confluence Baillaury/Rome.",,,66016,BANYULS-SUR-MER,66,76,OCCITANIE,Y0100580,Ruisseau du Tervau,http://id.eaufrance.fr/CEA/Y0100580,,2020-06-26T00:00:00Z,2001-01-01T00:00:00Z,2008-03-11T00:00:00Z,,1,20,,1.0,1.0,,,,PYRENEES-ORIENTALES,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,3.10821171824063,42.4657319638873
Y0105811,[La Méditerranée] à Port-Vendres [marégraphe],Y010581101,[La Méditerranée] à Port-Vendres [marégraphe],LIMNI,708842.83936,6157797.268,26,3.107459509,42.519922042,0.0,,,,66148,PORT-VENDRES,66,76,OCCITANIE,00000000,,http://id.eaufrance.fr/CEA/00000000,,2024-06-26T00:00:00Z,1981-12-28T00:00:00Z,,,1,20,2.0,,,,,,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,3.10745950866674,42.5199220416951
Y0115410,La Massane à Argelès-sur-Mer [Mas d'en Tourens],Y011541001,La Massane à Argelès-sur-Mer [Mas d'en Tourens],LIMNI,698826.696,6158427.89,26,2.985740441,42.525644133,1.0,Station raccordée au réseau radio automatique départemental d'annonce de crues et de gestion du barrage de Vinça.,80000.0,2.0,66008,ARGELES-SUR-MER,66,76,OCCITANIE,Y0110540,La Massane,http://id.eaufrance.fr/CEA/Y0110540,,2021-05-05T00:00:00Z,1966-10-06T00:00:00Z,,,1,20,0.0,1.0,1.0,1966-10-06T00:00:00Z,2013-11-18T00:00:00Z,2020-01-09T00:00:00Z,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.98574044145963,42.5256441332292
Y0204010,Le Tech à Prats-de-Mollo-la-Preste [La Preste],Y020401001,Le Tech à Prats-de-Mollo-la-Preste [La Preste],LIMNI,650797.564,6145404.8616,26,2.403233773,42.406910433,1.0,"Station installée fin 1919 par les G.F.H. du Sud-Ouest. Exploitée ensuite par E.D.F., puis par le S.H.C. et depuis 1988 par la D.D.A.F. 66.  Le 02/11/1999, la superficie du BV est corrigée : BV=18,8 km² au lieu de 16,6 km² précédemment.",1083000.0,2.0,66150,PRATS-DE-MOLLO-LA-PRESTE,66,76,OCCITANIE,Y02-0400,Le Tech,http://id.eaufrance.fr/CEA/Y02-0400,,2023-04-05T00:00:00Z,1953-01-01T00:00:00Z,,,1,20,0.0,1.0,1.0,1953-01-01T00:00:00Z,2013-11-18T00:00:00Z,2020-01-09T00:00:00Z,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.40323377309098,42.4069104326393
Y0214010,Le Tech à Prats-de-Mollo-la-Preste [Baillanouse],Y021401001,Le Tech à Prats-de-Mollo-la-Preste [Baillanouse],LIMNI,659698.143,6145543.245,26,2.511173612,42.40870419,2.0,,648.231,3.0,66150,PRATS-DE-MOLLO-LA-PRESTE,66,76,OCCITANIE,Y02-0400,Le Tech,http://id.eaufrance.fr/CEA/Y02-0400,,2021-05-05T00:00:00Z,2000-01-01T00:00:00Z,,,1,20,0.0,1.0,1.0,2020-01-09T00:00:00Z,2020-01-09T00:00:00Z,2021-05-05T00:00:00Z,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.51117361230352,42.4087041896384
Y0224010,Le Tech au Tech [Pont de la Vierge],Y022401001,Le Tech au Tech [Pont de la Vierge],LIMNI,663516.0,6145957.0,26,2.557451743,42.412625521,3.0,,,,66206,TECH,66,76,OCCITANIE,Y02-0400,Le Tech,http://id.eaufrance.fr/CEA/Y02-0400,,2021-05-12T00:00:00Z,1971-09-20T00:00:00Z,1991-01-01T00:00:00Z,,1,20,3.0,1.0,1.0,,,,PYRENEES-ORIENTALES,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.55745174268313,42.4126255213696
Y0224020,[Le ravin Sainte-Cécile] au Tech [Ravin Sainte-Cécile],Y022402001,[Le ravin Sainte-Cécile] au Tech [Ravin Sainte-Cécile],LIMNI,663449.0,6146107.0,26,2.556628838,42.413970392,3.0,,,,66206,TECH,66,76,OCCITANIE,00000000,,http://id.eaufrance.fr/CEA/00000000,,2021-05-12T00:00:00Z,1971-09-08T00:00:00Z,1991-01-01T00:00:00Z,,1,20,12.0,1.0,1.0,,,,PYRENEES-ORIENTALES,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.55662883838625,42.4139703917304
Y0234010,Le Tech à Montferrer [Pas du Loup],Y023401001,Le Tech à Montferrer [Pas du Loup],LIMNI,666690.082,6148433.138,26,2.595798674,42.435035097,2.0,,342.214,3.0,66116,MONTFERRER,66,76,OCCITANIE,Y02-0400,Le Tech,http://id.eaufrance.fr/CEA/Y02-0400,,2021-05-05T00:00:00Z,2000-01-01T00:00:00Z,,,1,20,0.0,1.0,1.0,2020-01-09T00:00:00Z,2020-01-09T00:00:00Z,2021-05-05T00:00:00Z,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.59579867448412,42.4350350967002
Y0234012,[Le correc de la Coume del Font] à Arles-sur-Tech [Can Partere],Y023401201,[Le correc de la Coume del Font] à Arles-sur-Tech [Can Partere],LIMNI,667152.0,6149268.0,26,2.601352607,42.442560433,1.0,,331.0,2.0,66009,ARLES-SUR-TECH,66,76,OCCITANIE,00000000,,http://id.eaufrance.fr/CEA/00000000,,2021-05-12T00:00:00Z,1965-07-22T00:00:00Z,1972-01-01T00:00:00Z,,1,20,12.0,1.0,1.0,1965-07-22T00:00:00Z,2016-05-13T00:00:00Z,2016-05-13T00:00:00Z,PYRENEES-ORIENTALES,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.60135260700591,42.4425604325079
Y0244010,Le Tech à Arles-sur-Tech,Y024401001,Le Tech à Arles-sur-Tech - Pont RD 115,LIMNI,670773.0,6151622.0,26,2.645168507,42.463875199,1.0,,245.64,1.0,66009,ARLES-SUR-TECH,66,76,OCCITANIE,Y02-0400,Le Tech,http://id.eaufrance.fr/CEA/Y02-0400,,2023-08-08T00:00:00Z,2014-03-19T00:00:00Z,,,1,20,15.0,1.0,0.0,2014-03-19T00:00:00Z,2020-01-09T00:00:00Z,2020-01-15T00:00:00Z,PYRENEES-ORIENTALES,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.64516850676827,42.463875198531
Y0244020,Le Tech à Amélie-les-Bains-Palalda [Supervaltech],Y024402001,Le Tech à Amélie-les-Bains-Palalda [Supervaltech],LIMNI,672193.0,6152738.0,26,2.662349919,42.47396277,1.0,,223.0,2.0,66003,AMELIE-LES-BAINS-PALALDA,66,76,OCCITANIE,Y02-0400,Le Tech,http://id.eaufrance.fr/CEA/Y02-0400,,2021-05-12T00:00:00Z,1966-09-23T00:00:00Z,1968-11-29T00:00:00Z,,1,20,12.0,1.0,1.0,1966-09-23T00:00:00Z,2016-05-13T00:00:00Z,2016-05-13T00:00:00Z,PYRENEES-ORIENTALES,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,2.662349919108,42.4739627700186
